KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-01,112.3
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-02,113.3
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-03,116.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-04,116.9
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-05,118.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-06,118.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-07,119
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-08,119.5
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-09,122.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-10,123.5
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-11,123.5
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2022-12,122
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-01,122.6
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-02,123.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-03,125.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-04,125.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-05,125.6
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-06,126.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-07,126.7
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-08,127.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-09,127.4
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-10,127.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-11,126.3
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2023-12,126.6
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-01,126.4
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-02,127.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-03,128
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-04,128.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-05,129.1
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-06,129.3
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-07,130
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-08,129.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-09,129.7
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-10,130.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-11,129.3
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2024-12,130.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-01,129.9
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-02,130.5
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-03,131
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-04,131.6
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-05,131.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-06,131.9
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-07,132.4
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-08,132.5
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-09,132.8
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-10,133.2
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-11,132.6
ICP.M.DE.N.000000.4.INX,M,DE,N,000000,4,INX,2025-12,132.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-01,70.97
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-02,71.29
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-03,71.54
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-04,71.66
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-05,71.83
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-06,71.84
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-07,71.84
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-08,71.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-09,71.93
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-10,72
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-11,72.01
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1996-12,72.19
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-01,72.42
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-02,72.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-03,72.65
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-04,72.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-05,72.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-06,72.83
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-07,72.9
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-08,73.02
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-09,73.07
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-10,73.09
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-11,73.18
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1997-12,73.26
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-01,73.2
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-02,73.4
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-03,73.46
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-04,73.61
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-05,73.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-06,73.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-07,73.83
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-08,73.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-09,73.79
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-10,73.77
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-11,73.77
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1998-12,73.81
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-01,73.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-02,73.94
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-03,74.15
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-04,74.4
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-05,74.45
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-06,74.45
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-07,74.58
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-08,74.67
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-09,74.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-10,74.74
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-11,74.84
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-12,75.09
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-01,75.13
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-02,75.37
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-03,75.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-04,75.67
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-05,75.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-06,76.04
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-07,76.14
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-08,76.2
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-09,76.5
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-10,76.52
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-11,76.68
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-12,76.96
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-01,76.63
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-02,76.86
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-03,77.27
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-04,77.73
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-05,78.1
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-06,78.21
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-07,78.03
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-08,77.97
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-09,78.18
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-10,78.24
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-11,78.19
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2001-12,78.54
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-01,78.63
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-02,78.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-03,79.21
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-04,79.56
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-05,79.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-06,79.67
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-07,79.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-08,79.64
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-09,79.84
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-10,80.03
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-11,79.97
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2002-12,80.36
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-01,80.3
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-02,80.62
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-03,81.08
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-04,81.21
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-05,81.15
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-06,81.25
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-07,81.13
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-08,81.25
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-09,81.54
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-10,81.66
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-11,81.7
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2003-12,81.95
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-01,81.75
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-02,81.94
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-03,82.46
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-04,82.88
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-05,83.14
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-06,83.18
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-07,83
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-08,83.17
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-09,83.26
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-10,83.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-11,83.53
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2004-12,83.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-01,83.32
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-02,83.62
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-03,84.25
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-04,84.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-05,84.78
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-06,84.87
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-07,84.78
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-08,84.98
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-09,85.42
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-10,85.64
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-11,85.45
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2005-12,85.74
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-01,85.35
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-02,85.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-03,86.09
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-04,86.66
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-05,86.89
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-06,86.96
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-07,86.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-08,86.93
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-09,86.93
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-10,87
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-11,87.03
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2006-12,87.37
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-01,86.92
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-02,87.17
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-03,87.75
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-04,88.31
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-05,88.52
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-06,88.61
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-07,88.39
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-08,88.45
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-09,88.78
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-10,89.21
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-11,89.69
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2007-12,90.05
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-01,89.7
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-02,90.02
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-03,90.9
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-04,91.19
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-05,91.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-06,92.11
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-07,91.97
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-08,91.84
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-09,92.01
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-10,92.04
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-11,91.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2008-12,91.47
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-01,90.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-02,91.08
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-03,91.42
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-04,91.75
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-05,91.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-06,91.98
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-07,91.38
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-08,91.69
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-09,91.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-10,91.92
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-11,92.03
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2009-12,92.32
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-01,91.57
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-02,91.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-03,92.87
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-04,93.25
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-05,93.35
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-06,93.35
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-07,92.95
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-08,93.14
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-09,93.43
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-10,93.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-11,93.79
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2010-12,94.36
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-01,93.68
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-02,94.08
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-03,95.35
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-04,95.88
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-05,95.89
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-06,95.88
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-07,95.33
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-08,95.51
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-09,96.21
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-10,96.55
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-11,96.63
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2011-12,96.96
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-01,96.17
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-02,96.65
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-03,97.9
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-04,98.36
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-05,98.22
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-06,98.15
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-07,97.63
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-08,98.01
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-09,98.72
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-10,98.95
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-11,98.76
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2012-12,99.11
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-01,98.08
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-02,98.44
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-03,99.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-04,99.51
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-05,99.62
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-06,99.73
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-07,99.2
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-08,99.32
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-09,99.8
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-10,99.68
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-11,99.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2013-12,99.95
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-01,98.83
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-02,99.14
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-03,100.07
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-04,100.22
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-05,100.11
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-06,100.22
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-07,99.57
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-08,99.68
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-09,100.12
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-10,100.06
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-11,99.88
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2014-12,99.78
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-01,98.24
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-02,98.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-03,100
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-04,100.43
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-05,100.71
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-06,100.72
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-07,100.11
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-08,100.12
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-09,100.32
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-10,100.45
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-11,100.01
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2015-12,100.03
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-01,98.56
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-02,98.73
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-03,99.96
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-04,100.17
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-05,100.59
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-06,100.77
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-07,100.28
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-08,100.34
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-09,100.72
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-10,100.96
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-11,100.6
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2016-12,101.13
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-01,100.26
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-02,100.66
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-03,101.49
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-04,102.07
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-05,101.98
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-06,102.08
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-07,101.62
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-08,101.89
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-09,102.29
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-10,102.34
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-11,102.14
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2017-12,102.49
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-01,101.56
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-02,101.78
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-03,102.91
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-04,103.32
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-05,103.97
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-06,104.09
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-07,103.85
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-08,104.01
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-09,104.42
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-10,104.68
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-11,104.1
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2018-12,104.05
